date,capital
2025-01-02,99921.97209882998
2025-01-03,100351.15160177476
2025-01-06,101014.43713380933
2025-01-07,100429.1869448047
2025-01-08,100351.15160177476
2025-01-09,100351.15160177476
2025-01-10,99882.95442731502
2025-01-13,99726.88374125517
2025-01-14,100312.1339302598
2025-01-15,100624.27530237952
2025-01-16,100741.3208750645
2025-01-17,101131.49014835422
2025-01-21,100151.13112976988
2025-01-22,100246.58364315893
2025-01-23,100460.71456246183
2025-01-24,100238.33648301665
2025-01-27,99817.29829064528
2025-01-28,100305.9277668558
2025-01-29,100083.01824749692
2025-01-30,100305.9277668558
2025-01-31,100254.32888782717
2025-02-03,99789.94881804932
2025-02-04,100305.9277668558
2025-02-05,100099.53225074125
2025-02-06,99980.03906029186
2025-02-07,100039.39058647386
2025-02-10,99780.8710804069
2025-02-11,99860.5382723609
2025-02-12,99462.20991007256
2025-02-13,100298.70023062621
2025-02-14,100517.78120975888
2025-02-18,100137.77797306591
2025-02-19,100139.36584671824
2025-02-20,100059.70625224584
2025-02-21,100458.02701705259
2025-02-24,100458.02701705259
2025-02-25,100458.02701705259
2025-02-26,100762.45226005194
2025-02-27,100305.82407274928
2025-02-28,100965.39274485515
2025-03-03,100001.39882974993
2025-03-04,99747.72080444683
2025-03-05,100001.39882974993
2025-03-06,99696.98326394694
2025-03-07,100204.34899174949
2025-03-10,99747.72080444683
2025-03-11,99494.04277914373
2025-03-12,99696.98326394694
2025-03-13,103452.05395908667
2025-03-14,107672.7419250627
2025-03-17,107672.74192506271
2025-03-18,107672.74192506271
2025-03-19,107908.20547963686
2025-03-20,108106.82686363082
2025-03-21,107548.2329977829
2025-03-24,107357.65695513907
2025-03-25,107357.65695513907
2025-03-26,107934.46592615214
2025-03-27,107870.94327115486
2025-03-28,107548.2329977829
2025-03-31,108155.95514283906
2025-04-01,108585.80739178121
2025-04-02,108185.12214341298
2025-04-03,107784.43689504474
2025-04-04,106582.38114994003
2025-04-07,106261.82721939152
2025-04-08,105380.32540483531
2025-04-09,107383.75164667651
2025-04-10,105781.01065320356
2025-04-11,106382.03374921097
2025-04-14,107383.75164667651
2025-04-15,105981.34850084274
2025-04-16,106181.69590157179
2025-04-17,105981.34850084274
2025-04-21,105866.45835299404
2025-04-22,105877.8371980424
2025-04-23,105887.53535148998
2025-04-24,105919.15487002718
2025-04-25,105961.31690860566
2025-04-28,106024.55594568008
2025-04-29,106056.1835058039
2025-04-30,105624.02864156444
2025-05-01,105629.29588079176
2025-05-02,105645.11368164698
2025-05-05,105655.54361947575
2025-05-06,105666.19068014291
2025-05-07,106356.2664965078
2025-05-08,106753.2928615976
2025-05-09,107022.70103358541
2025-05-12,110175.29952343542
2025-05-13,109253.62138804913
2025-05-14,107528.44266529399
2025-05-15,114119.48593455434
2025-05-16,114073.70892030433
2025-05-19,113639.7484131007
2025-05-20,113684.60866471552
2025-05-21,113570.17049462683
2025-05-22,113615.94750887685
2025-05-23,113570.63324148078
2025-05-27,113707.5015373769
2025-05-28,113707.5015373769
2025-05-29,113821.93970746559
2025-05-30,113913.49373596562
2025-06-02,113908.45590700848
2025-06-03,114005.04776446565
2025-06-04,113828.25551681807
2025-06-05,112943.61099906599
2025-06-06,113892.93931083285
2025-06-09,113852.13233984348
2025-06-10,114130.100568896
2025-06-11,113640.1765038612
2025-06-12,114457.8216692447
2025-06-13,113245.45605114392
2025-06-16,113872.37765878394
2025-06-17,112701.47698453808
2025-06-18,112379.72825327681
2025-06-20,112960.8574801384
2025-06-23,109706.28602889602
2025-06-24,111265.76656605165
2025-06-25,110519.92242544795
2025-06-26,112486.23409339688
2025-06-27,111197.9613775861
2025-06-30,109774.09121736158
2025-07-01,110384.3249810342
2025-07-02,111333.57175451721
2025-07-03,112893.05229167284
2025-07-07,111943.80551818982
2025-07-08,112757.44191474174
2025-07-09,113842.31199767321
2025-07-10,116720.35290088435
2025-07-11,113842.31199767321
2025-07-14,108725.80839052767
2025-07-15,109045.58986597427
2025-07-16,107011.77327781281
2025-07-17,105304.92440181058
2025-07-18,103894.92496274796
2025-07-21,104488.60968206698
2025-07-22,106343.8761992589
2025-07-23,107605.45799713182
2025-07-24,105898.6161984097
2025-07-25,106640.71855891841
2025-07-28,105453.34912028039
2025-07-29,105453.34912028039
2025-07-30,106640.71855891841
2025-07-31,106418.08855849381
2025-08-01,106492.3009177287
2025-08-04,106114.67200796343
2025-08-05,106366.42061293808
2025-08-06,105044.71342645632
2025-08-07,105485.2824886169
2025-08-08,105233.52187903566
2025-08-11,105548.22264101221
2025-08-12,104415.32390710979
2025-08-13,104792.95281687507
2025-08-14,104604.14436429573
2025-08-15,105611.16279340752
2025-08-18,104730.01266447976
2025-08-19,104792.95281687507
2025-08-20,104681.95153570078
2025-08-21,103488.02022959928
2025-08-22,105773.89326257899
2025-08-25,103497.02239535775
2025-08-26,103621.02150696507
2025-08-27,103879.0041237699
2025-08-28,102594.0784684446
2025-08-29,102894.05847719887
2025-09-02,101515.13457199943
2025-09-03,101072.15935609666
2025-09-04,102794.0619622166
2025-09-05,104271.98108218153
2025-09-08,101340.69734711906
2025-09-09,101488.02525687822
2025-09-10,101549.29586237852
2025-09-11,101647.86338647
2025-09-12,101661.186618152
2025-09-15,101754.42891462991
2025-09-16,101794.38844702786
2025-09-17,101767.75214631193
2025-09-18,101919.60243448337
2025-09-19,101674.50984983402
2025-09-22,101661.186618152
2025-09-23,102022.43827078417
2025-09-24,102022.43827078416
2025-09-25,101629.38324945644
2025-09-26,101334.59432625338
2025-09-29,101432.86042437803
2025-09-30,101432.86042437803
2025-10-01,101580.25020039412
2025-10-02,101629.38324945644
2025-10-03,101629.38324945644
2025-10-06,101457.42226332375
2025-10-07,101580.25020039412
2025-10-08,101580.25020039412
2025-10-09,101531.12652250269
2025-10-10,101531.12652250269
2025-10-13,101531.12652250269
2025-10-14,102528.48529930825
2025-10-15,100733.2364573608
2025-10-16,100653.4459289979
2025-10-17,100653.4459289979
2025-10-20,100653.4459289979
2025-10-21,100813.02698572371
2025-10-22,100613.15498414938
2025-10-23,100573.65540063499
2025-10-24,102448.69477094534
2025-10-27,101331.65020159542
2025-10-28,100951.43786783676
2025-10-29,98705.59576098486
2025-10-30,97135.66007505436
2025-10-31,98264.8639200657
2025-11-03,98295.70077581932
2025-11-04,96676.38474354609
2025-11-05,96960.68922932529
2025-11-06,95251.75118949969
2025-11-07,96313.48323264255
2025-11-10,96885.08289316396
2025-11-11,100028.84354944855
2025-11-12,98171.16339104554
2025-11-13,98599.86143295556
2025-11-14,97170.87931646255
2025-11-17,96456.38485125396
2025-11-18,97885.36696774694
2025-11-19,97885.36696774694
2025-11-20,95170.29753944815
2025-11-21,96742.18127455255
2025-11-24,93455.51899965656
2025-11-25,93512.33865956643
2025-11-26,93629.88866745344
2025-11-28,93692.72344727909
2025-12-01,93197.27596769562
2025-12-02,93211.70308085873
2025-12-03,93241.76721214417
2025-12-04,93271.83134342961
2025-12-05,93309.4129410731
2025-12-08,93318.4327538734
2025-12-09,93330.45725955824
