symbol,date,open,high,low,close,volume,rsi,atr,ema50,trend,rvol,macd_hist,stoch_k,roc,source_timestamp,hl_range,atr_baseline,past_5d_min,sma20,std20,bb_lower,bb_upper,vol_sma_20,dist_ema50,atr_pct,roc_10,price_change_pct,run_up_from_bottom,vol_surge_int,vol_ratio,bb_width,roc_3,accel_momentum,prev_close,gap_pct,close_to_bb_lower_pct,liquidity_score,momentum_score,trend_score,bounce_zone_score,risk_control_score,bounce_score_raw,bounce_score,passes_base_filter,highlight_reason,highlight_rank,Security Name,Listing Exchange,Market Category,ETF,Round Lot Size
CKX,2026-05-12,11.05,11.25,10.55,10.79,65054.0,55.682587,0.46423066,10.696229,1.0,12.443317,0.02586279,44.734848,8.631342,2026-05-12 13:30:00,1.5999994,0.42442062,10.7201,10.758375,0.3859044,9.986567,11.530184,13156.7,0.047097985,4.1449165,10.89108,1.8181801,1.1307166,1.0,12.443317,0.14348052,4.38025,1.1096554,11.2,-1.3392824,0.5204875,2,3,2,3,2,12,100.0,True,volume>20d_avg|rvol>=1|positive_roc|macd_positive|above_ema50,1,"CKX Lands, Inc. Common Stock",A, ,N,100.0
IBIK,2026-05-12,26.08,26.08,26.01,26.01,2723.0,58.481346,0.073382996,25.930187,1.0,2.7320185,0.0060126595,79.02906,0.38491148,2026-05-12 13:30:00,0.029899599,0.086988576,25.99,25.99328,0.05701959,25.879242,26.107319,9405.5,0.00577754,0.2813765,0.17284155,0.0,1.0346204,1.0,2.7320185,0.0087744575,0.19208193,0.14017756,26.08,0.0,0.5733078,2,3,2,3,2,12,100.0,True,volume>20d_avg|rvol>=1|positive_roc|macd_positive|above_ema50,2,iShares iBonds Oct 2034 Term TIPS ETF,P, ,Y,100.0
LDP,2026-05-12,21.0,21.03,20.851,20.94,37175.0,62.26019,0.22748823,20.81222,1.0,2.1179278,0.017526787,84.55254,1.5369837,2026-05-12 13:30:00,0.22439957,0.24058273,20.91,20.8895,0.10580377,20.677893,21.101107,47945.45,0.015749391,1.0761033,1.1483192,0.28462744,0.95601016,1.0,2.1179278,0.02025965,1.0516167,0.706776,21.14,-0.6622488,0.61932707,2,3,2,3,2,12,100.0,True,volume>20d_avg|rvol>=1|positive_roc|macd_positive|above_ema50,3,"Cohen & Steers Limited Duration Preferred and Income Fund, Inc.",N, ,N,100.0
PRKS,2026-05-12,35.88,36.4,34.325,35.15,2010986.0,54.416977,2.0074522,35.002235,1.0,2.0628269,0.25589234,75.75733,4.4012575,2026-05-12 13:30:00,5.619999,1.6783068,34.23,35.5195,1.5071218,32.505257,38.533745,1069728.6,0.043647595,5.4953527,6.6258073,-8.239141,1.3704283,1.0,2.0628269,0.16972333,2.1532416,0.16350973,36.53,-1.7793533,0.43870783,2,3,2,3,2,12,100.0,True,volume>20d_avg|rvol>=1|positive_roc|macd_positive|above_ema50,4,United Parks & Resorts Inc. Common Stock,N, ,N,100.0
SBI,2026-05-12,7.76,7.84,7.76,7.8,74259.0,55.824238,0.07924174,7.762076,1.0,1.9247664,0.012065193,68.59606,0.90556276,2026-05-12 13:30:00,0.13000011,0.07093746,7.68,7.7485,0.07915844,7.590183,7.906817,48455.75,0.0048858435,1.0159197,1.1673212,0.6451638,1.691636,1.0,1.9247664,0.04086393,0.6451607,0.29461375,7.8,-0.51282,0.6626493,2,3,2,3,2,12,100.0,True,volume>20d_avg|rvol>=1|positive_roc|macd_positive|above_ema50,5,Western Asset Intermediate Muni Fund Inc Common Stock,N, ,N,100.0
GDMA,2026-05-12,42.43,42.43,40.95,41.75,29000.0,63.766647,0.35611105,41.493473,1.0,1.9103733,0.040784743,75.435036,2.5980275,2026-05-12 13:30:00,0.64500046,0.37943888,41.4999,41.844616,0.3468978,41.15082,42.53841,17133.3,0.02787254,0.8349614,1.5976906,1.4510005,3.0310566,1.0,1.9103733,0.033160504,1.1164308,0.63664377,42.65,-0.5158293,0.43181267,2,3,2,3,2,12,100.0,True,volume>20d_avg|rvol>=1|positive_roc|macd_positive|above_ema50,6,Gadsden Dynamic Multi-Asset ETF,Z, ,Y,100.0
FINS,2026-05-12,12.88,12.96,12.66,12.86,64945.0,53.55634,0.15992868,12.85705,1.0,1.8810855,0.009225803,46.75926,0.9784736,2026-05-12 13:30:00,0.22900009,0.1368396,12.86,12.8543,0.064271666,12.725757,12.982842,29897.1,0.0033405544,1.2397573,0.4672885,-0.38610187,0.29231277,1.0,1.8810855,0.019999985,0.1552701,0.014943227,12.9,-0.15503491,0.52217203,2,3,2,3,2,12,100.0,True,volume>20d_avg|rvol>=1|positive_roc|macd_positive|above_ema50,7,Angel Oak Financial Strategies Income Term Trust Common Shares of Beneficial Interest,N, ,N,100.0
GREE,2026-05-12,1.28,1.285,1.215,1.25,202845.0,55.982723,0.095683545,1.2361321,1.0,1.8679965,0.009038647,63.107758,6.6666665,2026-05-12 13:30:00,0.13,0.123708144,1.17,1.215,0.056893274,1.1012135,1.3287866,138314.5,0.035487976,7.475277,8.474577,4.918028,0.8891898,1.0,1.8679965,0.187303,3.2258034,0.6808853,1.28,0.0,0.65379655,2,3,2,3,2,12,100.0,True,volume>20d_avg|rvol>=1|positive_roc|macd_positive|above_ema50,8,Greenidge Generation Holdings Inc. - Class A Common Stock,Q,Q,N,100.0
QOWZ,2026-05-12,33.18,33.2678,33.18,33.2678,1015.0,53.863605,0.33964938,33.221188,1.0,1.6973822,0.0009098917,60.825977,0.91986096,2026-05-12 13:30:00,0.1617012,0.36748663,33.1417,33.428032,0.31526583,32.7975,34.058563,3290.95,0.005933353,1.0163574,-0.7292688,-0.4815402,0.7526801,1.0,1.6973822,0.037724704,0.5566716,0.77567124,33.4183,-0.71308327,0.37293848,2,3,2,3,2,12,100.0,True,volume>20d_avg|rvol>=1|positive_roc|macd_positive|above_ema50,9,Invesco Nasdaq Free Cash Flow Achievers ETF,Q,G,Y,100.0
CRBD,2026-05-12,23.98,24.04,23.75,23.75,78812.0,58.289646,0.3687137,23.618097,1.0,1.6539286,0.01644753,80.64158,1.5228426,2026-05-12 13:30:00,0.289999,0.4015574,23.88,23.751495,0.22445315,23.30259,24.200401,37257.35,0.016169919,1.5363071,0.33445358,-0.16639315,0.2988386,1.0,1.6539286,0.037800226,0.4184127,0.31797618,24.0,-0.083335236,0.49833444,2,3,2,3,2,12,100.0,True,volume>20d_avg|rvol>=1|positive_roc|macd_positive|above_ema50,10,Corebridge Financial Inc. 6.375% Junior Subordinated Notes due 2064,N, ,N,100.0
